Name ,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
Goshta,69.49571201,91.39254082,117.60668,145.5589311,172.5106787,197.0942717,218.3021973,235.8839717,249.4770609,258.4953163
Rodat,132.7454274,178.1828236,233.6910609,293.9000505,352.7569844,407.2481956,454.9047914,495.1581735,527.1589664,549.3553671
Kama,301.6645078,392.5284695,501.2499645,617.0574746,728.5733191,830.5955871,918.9149573,992.1856119,1048.860921,1086.474677
Hisa-e-Duwum-e-Kohestan,631.3182959,835.0177379,1082.620497,1350.238272,1611.367001,1853.004852,2064.476864,2242.97189,2384.640681,2482.758585
Kohband,123.9734477,152.558792,185.9141613,220.6331088,253.390656,282.8151426,307.8389823,327.6646952,341.771701,349.6839525
Nejrab,153.7213085,182.4390736,214.9828893,247.9354105,278.2520947,304.8757757,327.0319756,343.5836972,354.0000268,358.1200862
Alasay,89.84233731,103.0851249,117.5236064,131.6065523,144.1346759,154.8148842,163.4410845,169.257906,172.0030466,171.7491799
Alishang,130.7977979,161.0284636,195.9270782,231.8854494,265.4984087,295.4479649,320.7108592,340.4992558,354.320301,361.7516309
Mehtarlam / Bad Pash,103.3131924,129.4757031,160.8546515,194.5880855,227.615299,258.4678568,285.8993714,309.340829,328.1942644,341.5841914
Rukha,53.56615689,57.83689972,62.31346452,66.51471999,70.12200988,73.10065997,75.43198422,76.5236262,76.19127512,74.5616592
Dawlatshah,29.67319599,32.28703996,35.02694924,37.59919114,39.80964963,41.6324581,43.0605983,43.77454461,43.67120882,42.82820153
Duab,12.47472501,13.2168959,13.96520913,14.63766226,15.19386033,15.63212908,15.96404027,16.04083944,15.81138161,15.3170514
Khaskunar,97.10670653,122.1326668,150.9635215,180.6795152,208.5044491,233.0886696,253.6497185,269.9433098,281.6854991,288.4669248
Kuzkunar,172.2046305,223.8645622,285.4328959,350.7267325,413.2976377,470.2508535,519.276175,559.5753101,590.3251079,610.2222669
Nurgal,70.90387399,83.77897534,98.00351911,112.0347479,124.6366895,135.4653005,144.2734364,150.5732049,154.1522136,155.0204135
Asadabad,335.7871802,398.2842866,468.4163481,538.9257822,603.5868321,660.4167815,707.8613164,743.972044,767.7885431,778.8495215
Watapur,33.21691178,37.56432165,42.2639015,46.81823664,50.85068924,54.27764094,57.04449093,58.87329764,59.66482057,59.46173134
Shigal Wa Sheltan,41.59064775,47.72922659,54.32789006,60.67810057,66.26097894,70.93554542,74.64073026,77.07536233,78.13609599,77.87251768
Ghaziabad,32.14085058,35.87961385,39.79768958,43.47311985,46.61202874,49.19253543,51.20930027,52.34514795,52.52175064,51.80241608
Reg,1.157589246,1.549446809,2.039579044,2.583620875,3.091344458,3.589913753,4.007847656,4.367285765,4.631387138,4.842808315
Nawa-e-Barakzaiy,89.16751435,120.0269627,157.7724719,198.7725157,238.8709424,276.0251161,308.5283186,336.0021373,357.8642397,373.066098
Sangin,62.15749478,83.3007566,109.0745416,136.9461323,164.1259929,189.2265657,211.1215593,229.5477376,244.1274174,254.1541483
Musaqalah,28.35127957,38.09224749,49.97206203,62.84915671,75.43725538,87.08392974,97.25499389,105.8373379,112.6525209,117.3611635
Koran Wa Monjan,1.979116216,1.998934813,2.020097859,2.038624299,2.052637123,2.062577993,2.068095516,2.051649783,1.971964507,1.887931867
Poruns,3.469580067,3.510277751,3.550484092,3.584703911,3.612049175,3.633309414,3.648557894,3.612430126,3.49844398,3.332954688
Ghorband,61.5875371,71.37464684,82.31323782,93.24465791,103.1789421,111.8123202,118.9212309,123.9938979,126.8304199,127.4268348
Batikot,383.4946492,509.734326,663.0228178,828.4013347,989.3767686,1137.8951,1267.406347,1376.240148,1462.11905,1520.98767
Achin,150.3712619,189.9705819,236.5379893,285.4838106,332.0467863,373.9515003,409.675235,438.7444455,460.5787308,474.2763948
Kot,131.4366612,172.4488778,222.2004362,275.9467897,328.4143342,377.0296377,419.6540347,455.6906244,484.3140326,504.181871
Balamurghab,11.82013441,15.63607614,20.25930745,25.21267375,30.01873551,34.427848,38.24716082,41.43714836,43.92813996,45.61761146
Jawand,7.656273669,10.03356238,12.87871105,15.90139904,18.81712286,21.48292775,23.78309288,25.68957168,27.15477432,28.11850159
Qaysar,47.50421587,62.3725522,80.23078816,99.29796358,117.690125,134.5125169,149.0656976,161.1355024,170.4633196,176.6385055
Khwajasabzposh,85.40503924,114.8208204,150.7526142,189.713687,227.7815356,262.9966561,293.7711953,319.7423189,340.3629986,354.6333954
Qushtepa,47.40789845,63.8398731,83.92433355,105.7323057,127.0632914,146.8203866,164.0950213,178.7001454,190.3191307,198.387272
Dawlatabad,36.93223486,49.72437646,65.33857675,82.30348897,98.88719303,114.2616776,127.6979779,139.0566744,148.0859876,154.3623861
Andkhoy,21.25482471,28.24153098,36.7842681,46.07911025,55.20740572,63.71775025,71.20832081,77.58138784,82.7082896,86.33372708
Qarqin,52.97506959,70.71776737,92.25774999,115.5359052,138.1981566,159.1097797,177.3318253,192.6586082,204.7829148,213.1267779
Sancharak,79.83856925,104.2739099,133.5806239,164.8196591,194.9085763,222.4084929,246.1708116,265.8171502,280.9434013,290.8718679
Sozmaqala,66.71748038,89.34168853,116.8896674,146.6713695,175.6968773,202.4917501,225.8650606,245.5184459,261.0549623,271.7282507
Qala-e-Zal,31.91513999,42.35877193,55.04381998,68.73081336,82.06832595,94.38182564,105.1401914,114.2161524,121.4174146,126.38821
Kunduz,389.5010338,513.5938304,665.2429492,830.1924631,992.267297,1143.357114,1276.6508,1390.356323,1481.924284,1546.854358
Andarab,20.36033228,24.7319661,29.79543535,35.01527619,39.89937986,44.25240335,47.93002358,50.78755637,52.74865505,53.76229234
Khenjan,16.5286508,18.45298669,20.60272723,22.74992408,24.70088399,26.4004514,27.80116818,28.74178736,29.15723939,29.06497764
Ruy-e-Duab,16.03814382,20.46143219,25.73150015,31.31671436,36.66517579,41.53503049,45.72761637,49.15404564,51.7365759,53.36782794
Tala Wa barfak,7.22972624,7.999277829,8.84968835,9.693702763,10.45706211,11.11311648,11.65432099,11.99935476,12.12646083,12.03829839
Khwajahejran,33.49005931,42.37470479,52.76669611,63.59442779,73.80832856,82.97103328,90.74986433,96.97144038,101.5059122,104.1892365
Guzargah-e-Nur,15.25733388,16.30611804,17.37512269,18.34785109,19.15482554,19.80280997,20.29180811,20.44974698,20.22889375,19.66902683
Chal,46.05846998,58.91056586,74.18313422,90.33770707,105.7984162,119.8685085,131.9719612,141.8770109,149.3728149,154.1332801
Dasht-e-Archi,110.3252447,148.0930217,194.1506341,244.0361789,292.7211247,337.7213612,377.010255,410.1191765,436.3556971,454.451218
Bangi,74.90420175,99.77739578,129.9508356,162.462397,194.0647825,223.1678982,248.4975601,269.7306223,286.4272948,297.8044998
Hazarsumuch,103.6991569,139.1438589,182.3528472,229.1140797,274.72215,316.8578049,353.61637,384.5701545,409.0699604,425.9487664
Dasht-e-Qala,66.19868151,87.62750943,113.31113,140.8372331,167.4896251,191.9455703,213.254801,231.1865743,245.382349,255.168075
Rostaq,87.7442558,116.1311207,150.3848237,187.1279217,222.6788015,255.3053024,283.6054646,307.1872472,325.5639126,337.9071233
